No;Course Category;Course Title;Course Topics;Content Type;Title;URL
41;Islamic Fundamental;Aqidah;Pentingnya Dua Kalimat Syahadat;Video;Part 5 Urgensi Syahadat - Keutamaan yang Besar;https://youtu.be/XFTqCZTFrgw
42;Islamic Fundamental;Aqidah;Syarat diterimanya Syahadatain;Video;Part 1 Intro Syarat Diterimanya Syahadatain;https://youtu.be/v3T1iRyUsrc
43;Islamic Fundamental;Aqidah;Syarat diterimanya Syahadatain;Video;Part 2 Ilmu yang Menolak Kebodohan;https://youtu.be/z31ff2q37Q0
44;Islamic Fundamental;Aqidah;Syarat diterimanya Syahadatain;Video;Part 3 Keyakinan yang Menolak Keraguan;https://youtu.be/_wxbgAfucKk
45;Islamic Fundamental;Aqidah;Syarat diterimanya Syahadatain;Video;Part 4 Keikhlasan yang Menolak Kemusyrikan dan Riya;https://youtu.be/974L4mxOZOU
46;Islamic Fundamental;Aqidah;Syarat diterimanya Syahadatain;Video;Part 5 Kejujuran yang Menolak Kedustaan;https://youtu.be/2P2IBKq8lP8
47;Islamic Fundamental;Aqidah;Syarat diterimanya Syahadatain;Video;Part 6 Cinta yang Menolak Kebencian;https://youtu.be/rByPA7XqnQw
48;Islamic Fundamental;Aqidah;Syarat diterimanya Syahadatain;Video;Part 7 Ketundukan yang Meniadakan untuk Meninggalkan;https://youtu.be/zzQN95PNAIo
49;Islamic Fundamental;Aqidah;Syarat diterimanya Syahadatain;Video;Part 8 Tidak Terpenuhinya Syahadatain & Kesimpulan;https://youtu.be/VVF53Ei_6EA
50;Islamic Fundamental;Aqidah;Muqaddimah Aqidah Islamiyah;Video;Part 1 Muqaddimah Aqidah Islamiyah;https://youtu.be/Oa5Wg5sPlZw
51;Islamic Fundamental;Aqidah;Muqaddimah Aqidah Islamiyah;Video;Part 2 Makna Aqidah;https://youtu.be/DU-MKcay0Lo
52;Islamic Fundamental;Aqidah;Muqaddimah Aqidah Islamiyah;Video;Part 3 Mengenal Ilmu Aqidah;https://youtu.be/cyjc7Ns6ufU
